Time (s),Current (A)
0.0,-8.731149e-09
0.0009765625,-6.693881e-09
0.001953125,-5.675247e-09
0.0029296875,-8.731149e-09
0.00390625,-6.693881e-09
0.0048828125,-4.656613e-09
0.005859375,3.49246e-09
0.0068359375,-5.820766e-10
0.0078125,-5.820766e-10
0.0087890625,-5.675247e-09
0.009765625,-6.693881e-09
0.0107421875,-5.675247e-09
0.01171875,-7.712515e-09
0.0126953125,-1.280569e-08
0.013671875,-9.749783e-09
0.0146484375,-4.656613e-09
0.015625,-1.600711e-09
0.0166015625,4.365575e-10
0.017578125,-6.693881e-09
0.0185546875,-5.675247e-09
0.01953125,-9.749783e-09
0.0205078125,-4.656613e-09
0.021484375,-4.656613e-09
0.0224609375,-3.637979e-09
0.0234375,-2.619345e-09
0.0244140625,-2.619345e-09
0.025390625,-8.731149e-09
0.0263671875,-1.600711e-09
0.02734375,-1.076842e-08
0.0283203125,-5.820766e-10
0.029296875,-6.693881e-09
0.0302734375,-1.178705e-08
0.03125,-7.712515e-09
0.0322265625,-8.731149e-09
0.033203125,4.511094e-09
0.0341796875,-4.656613e-09
0.03515625,-1.600711e-09
0.0361328125,-7.712515e-09
0.037109375,-3.637979e-09
0.0380859375,-4.656613e-09
0.0390625,-5.675247e-09
0.0400390625,-6.693881e-09
0.041015625,-2.619345e-09
0.0419921875,-5.675247e-09
0.04296875,-3.637979e-09
0.0439453125,-5.820766e-10
0.044921875,-4.656613e-09
0.0458984375,-9.749783e-09
0.046875,-7.712515e-09
0.0478515625,-3.637979e-09
0.048828125,-7.712515e-09
0.0498046875,-6.693881e-09
0.05078125,-2.619345e-09
0.0517578125,-4.656613e-09
0.052734375,-6.693881e-09
0.0537109375,-4.656613e-09
0.0546875,-5.675247e-09
0.0556640625,-1.600711e-09
0.056640625,-1.076842e-08
0.0576171875,-1.280569e-08
0.05859375,-3.637979e-09
0.0595703125,-6.693881e-09
0.060546875,-5.820766e-10
0.0615234375,-5.820766e-10
0.0625,-3.637979e-09
0.0634765625,-2.619345e-09
0.064453125,-4.656613e-09
0.0654296875,-8.731149e-09
0.06640625,-1.076842e-08
0.0673828125,-7.712515e-09
0.068359375,-6.693881e-09
0.0693359375,-5.820766e-10
0.0703125,-2.619345e-09
0.0712890625,4.365575e-10
0.072265625,-1.600711e-09
0.0732421875,-2.619345e-09
0.07421875,-6.693881e-09
0.0751953125,-8.731149e-09
0.076171875,-3.637979e-09
0.0771484375,-4.656613e-09
0.078125,-3.637979e-09
0.0791015625,-2.619345e-09
0.080078125,-9.749783e-09
0.0810546875,-6.693881e-09
0.08203125,-4.656613e-09
0.0830078125,-8.731149e-09
0.083984375,-6.693881e-09
0.0849609375,-7.712515e-09
0.0859375,-6.693881e-09
0.0869140625,-7.712515e-09
0.087890625,-1.600711e-09
0.0888671875,-5.820766e-10
0.08984375,-1.600711e-09
0.0908203125,-6.693881e-09
0.091796875,-7.712515e-09
0.0927734375,-2.619345e-09
0.09375,-4.656613e-09
0.0947265625,-6.693881e-09
0.095703125,-7.712515e-09
0.0966796875,-4.656613e-09
0.09765625,-3.637979e-09
0.0986328125,4.365575e-10
0.099609375,-4.656613e-09
0.1005859375,-4.656613e-09
0.1015625,-6.693881e-09
0.1025390625,-1.076842e-08
0.103515625,-1.280569e-08
0.1044921875,-2.619345e-09
0.10546875,1.455192e-09
0.1064453125,-2.619345e-09
0.107421875,-7.712515e-09
0.1083984375,-1.076842e-08
0.109375,-5.675247e-09
0.1103515625,-3.637979e-09
0.111328125,-5.675247e-09
0.1123046875,-4.656613e-09
0.11328125,-5.675247e-09
0.1142578125,-1.076842e-08
0.115234375,-5.675247e-09
0.1162109375,-4.656613e-09
0.1171875,-2.619345e-09
0.1181640625,-6.693881e-09
0.119140625,-8.731149e-09
0.1201171875,-6.693881e-09
0.12109375,-5.675247e-09
0.1220703125,-8.731149e-09
0.123046875,-1.178705e-08
0.1240234375,1.455192e-09
0.125,-2.619345e-09
0.1259765625,-3.637979e-09
0.126953125,4.365575e-10
0.1279296875,-1.600711e-09
0.12890625,-6.693881e-09
0.1298828125,-8.731149e-09
0.130859375,-8.731149e-09
0.1318359375,-1.600711e-09
0.1328125,4.365575e-10
0.1337890625,-8.731149e-09
0.134765625,-7.712515e-09
0.1357421875,-3.637979e-09
0.13671875,-6.693881e-09
0.1376953125,-7.712515e-09
0.138671875,-5.675247e-09
0.1396484375,-8.731149e-09
0.140625,-6.693881e-09
0.1416015625,-6.693881e-09
0.142578125,1.455192e-09
0.1435546875,-5.820766e-10
0.14453125,3.49246e-09
0.1455078125,-2.619345e-09
0.146484375,-2.619345e-09
0.1474609375,-4.656613e-09
0.1484375,-1.076842e-08
0.1494140625,-4.656613e-09
0.150390625,-7.712515e-09
0.1513671875,-2.619345e-09
0.15234375,-1.600711e-09
0.1533203125,-1.600711e-09
0.154296875,-5.820766e-10
0.1552734375,2.473826e-09
0.15625,-3.637979e-09
0.1572265625,-7.712515e-09
0.158203125,-1.076842e-08
0.1591796875,-5.675247e-09
0.16015625,-3.637979e-09
0.1611328125,-5.820766e-10
0.162109375,-4.656613e-09
0.1630859375,-5.675247e-09
0.1640625,-5.675247e-09
0.1650390625,-4.656613e-09
0.166015625,-8.731149e-09
0.1669921875,-7.712515e-09
0.16796875,-6.693881e-09
0.1689453125,-1.600711e-09
0.169921875,-7.712515e-09
0.1708984375,-5.820766e-10
0.171875,-1.600711e-09
0.1728515625,-1.600711e-09
0.173828125,-2.619345e-09
0.1748046875,-5.675247e-09
0.17578125,-6.693881e-09
0.1767578125,-1.076842e-08
0.177734375,-5.675247e-09
0.1787109375,-5.675247e-09
0.1796875,-4.656613e-09
0.1806640625,-3.637979e-09
0.181640625,1.455192e-09
0.1826171875,-2.619345e-09
0.18359375,-4.656613e-09
0.1845703125,-9.749783e-09
0.185546875,-4.656613e-09
0.1865234375,-1.600711e-09
0.1875,-9.749783e-09
0.1884765625,-4.656613e-09
0.189453125,-5.820766e-10
0.1904296875,-7.712515e-09
0.19140625,-6.693881e-09
0.1923828125,-3.637979e-09
0.193359375,-6.693881e-09
0.1943359375,-7.712515e-09
0.1953125,-7.712515e-09
0.1962890625,-7.712515e-09
0.197265625,-6.693881e-09
0.1982421875,-3.637979e-09
0.19921875,1.455192e-09
0.2001953125,-9.749783e-09
0.201171875,-9.749783e-09
0.2021484375,-3.637979e-09
0.203125,-7.712515e-09
0.2041015625,-7.712515e-09
0.205078125,-6.693881e-09
0.2060546875,-5.675247e-09
0.20703125,-5.820766e-10
0.2080078125,-1.600711e-09
0.208984375,-3.637979e-09
0.2099609375,-4.656613e-09
0.2109375,-5.675247e-09
0.2119140625,-6.693881e-09
0.212890625,-5.675247e-09
0.2138671875,-5.675247e-09
0.21484375,-3.637979e-09
0.2158203125,-9.749783e-09
0.216796875,-8.731149e-09
0.2177734375,-6.693881e-09
0.21875,-9.749783e-09
0.2197265625,-7.712515e-09
0.220703125,-7.712515e-09
0.2216796875,-1.600711e-09
0.22265625,-8.731149e-09
0.2236328125,-8.731149e-09
0.224609375,-3.637979e-09
0.2255859375,4.365575e-10
0.2265625,5.529728e-09
0.2275390625,-4.656613e-09
0.228515625,-4.656613e-09
0.2294921875,-7.712515e-09
0.23046875,-6.693881e-09
0.2314453125,-6.693881e-09
0.232421875,-6.693881e-09
0.2333984375,-6.693881e-09
0.234375,-5.675247e-09
0.2353515625,-8.731149e-09
0.236328125,-5.820766e-10
0.2373046875,-4.656613e-09
0.23828125,-5.675247e-09
0.2392578125,-5.675247e-09
0.240234375,-7.712515e-09
0.2412109375,-5.675247e-09
0.2421875,-7.712515e-09
0.2431640625,-4.656613e-09
0.244140625,-1.600711e-09
0.2451171875,-4.656613e-09
0.24609375,-7.712515e-09
0.2470703125,-4.656613e-09
0.248046875,-4.656613e-09
0.2490234375,-8.731149e-09
0.25,-1.280569e-08
0.2509765625,-1.076842e-08
0.251953125,-2.619345e-09
0.2529296875,-2.619345e-09
0.25390625,4.365575e-10
0.2548828125,-4.656613e-09
0.255859375,-4.656613e-09
0.2568359375,-5.675247e-09
0.2578125,-5.675247e-09
0.2587890625,-6.693881e-09
0.259765625,-4.656613e-09
0.2607421875,-7.712515e-09
0.26171875,-1.600711e-09
0.2626953125,-2.619345e-09
0.263671875,-3.637979e-09
0.2646484375,-2.619345e-09
0.265625,-4.656613e-09
0.2666015625,-3.637979e-09
0.267578125,-1.280569e-08
0.2685546875,-5.675247e-09
0.26953125,-6.693881e-09
0.2705078125,-5.820766e-10
0.271484375,-2.619345e-09
0.2724609375,-6.693881e-09
0.2734375,-6.693881e-09
0.2744140625,-3.637979e-09
0.275390625,-4.656613e-09
0.2763671875,-5.675247e-09
0.27734375,-6.693881e-09
0.2783203125,-8.731149e-09
0.279296875,-4.656613e-09
0.2802734375,-2.619345e-09
0.28125,2.473826e-09
0.2822265625,-3.637979e-09
0.283203125,-6.693881e-09
0.2841796875,-8.731149e-09
0.28515625,-8.731149e-09
0.2861328125,-9.749783e-09
0.287109375,-7.712515e-09
0.2880859375,-8.731149e-09
0.2890625,-1.600711e-09
0.2900390625,-2.619345e-09
0.291015625,4.365575e-10
0.2919921875,-2.619345e-09
0.29296875,-4.656613e-09
0.2939453125,-5.675247e-09
0.294921875,-6.693881e-09
0.2958984375,-6.693881e-09
0.296875,-6.693881e-09
0.2978515625,-6.693881e-09
0.298828125,-6.693881e-09
0.2998046875,-9.749783e-09
0.30078125,-9.749783e-09
0.3017578125,-5.675247e-09
0.302734375,-6.693881e-09
0.3037109375,-1.076842e-08
0.3046875,-1.076842e-08
0.3056640625,-7.712515e-09
0.306640625,-7.712515e-09
0.3076171875,4.365575e-10
0.30859375,4.365575e-10
0.3095703125,-3.637979e-09
0.310546875,-4.656613e-09
0.3115234375,-3.637979e-09
0.3125,-5.675247e-09
0.3134765625,-1.076842e-08
0.314453125,-5.820766e-10
0.3154296875,-7.712515e-09
0.31640625,-4.656613e-09
0.3173828125,-5.820766e-10
0.318359375,-1.600711e-09
0.3193359375,-6.693881e-09
0.3203125,-2.619345e-09
0.3212890625,-4.656613e-09
0.322265625,-8.731149e-09
0.3232421875,-7.712515e-09
0.32421875,-5.675247e-09
0.3251953125,-7.712515e-09
0.326171875,-3.637979e-09
0.3271484375,-6.693881e-09
0.328125,-7.712515e-09
0.3291015625,-9.749783e-09
0.330078125,-6.693881e-09
0.3310546875,-6.693881e-09
0.33203125,-5.675247e-09
0.3330078125,-1.076842e-08
0.333984375,-6.693881e-09
0.3349609375,-5.820766e-10
0.3359375,-2.619345e-09
0.3369140625,2.473826e-09
0.337890625,-6.693881e-09
0.3388671875,-8.731149e-09
0.33984375,-3.637979e-09
0.3408203125,-5.675247e-09
0.341796875,-9.749783e-09
0.3427734375,-1.382432e-08
0.34375,-2.619345e-09
0.3447265625,-4.656613e-09
0.345703125,1.455192e-09
0.3466796875,4.365575e-10
0.34765625,-3.637979e-09
0.3486328125,-8.731149e-09
0.349609375,-4.656613e-09
0.3505859375,-8.731149e-09
0.3515625,-5.675247e-09
0.3525390625,-8.731149e-09
0.353515625,-5.675247e-09
0.3544921875,-4.656613e-09
0.35546875,-3.637979e-09
0.3564453125,-9.749783e-09
0.357421875,-6.693881e-09
0.3583984375,-6.693881e-09
0.359375,-8.731149e-09
